127.0.0.1 - - [10/Jan/2023:22:46:39 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:40 +0530] "GET /Login_Proj/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/login.jsp HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/css/style.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/alert/dist/sweetalert.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/vendor/jquery/jquery.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/images/signin-image.jpg HTTP/1.1" 200 21118
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-300.eot? HTTP/1.1" 200 8696
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-300italic.eot? HTTP/1.1" 200 10018
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-italic.eot? HTTP/1.1" 200 10007
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-regular.eot? HTTP/1.1" 200 8692
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-500italic.eot? HTTP/1.1" 200 10148
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-500.eot? HTTP/1.1" 200 8716
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-700.eot? HTTP/1.1" 200 8616
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-600.eot? HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-700italic.eot? HTTP/1.1" 200 10015
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-800.eot? HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-800italic.eot? HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-900.eot? HTTP/1.1" 200 8382
0:0:0:0:0:0:0:1 - - [10/Jan/2023:22:46:41 +0530] "GET /Login_Proj/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff?v=2.2.0 HTTP/1.1" 200 50312
