127.0.0.1 - - [26/Apr/2023:16:10:57 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:13 +0530] "GET /Login_Proj/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:13 +0530] "GET /Login_Proj/login.jsp HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:13 +0530] "GET /Login_Proj/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:13 +0530] "GET /Login_Proj/css/style.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:13 +0530] "GET /Login_Proj/images/signin-image.jpg HTTP/1.1" 200 21118
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:13 +0530] "GET /Login_Proj/alert/dist/sweetalert.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:13 +0530] "GET /Login_Proj/vendor/jquery/jquery.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:13 +0530] "GET /Login_Proj/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:13 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 200 7832
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:13 +0530] "GET /Login_Proj/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 200 7904
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:13 +0530] "GET /Login_Proj/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:16 +0530] "GET /Login_Proj/login.jsp?username=ak8506624%40gmail.com&password=5227362125&signin=Log+in HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:16 +0530] "GET /Login_Proj/alert/dist/sweetalert.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:16 +0530] "GET /Login_Proj/vendor/jquery/jquery.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:20 +0530] "GET /Login_Proj/login.jsp?username=ak8506624%40gmail.com&password=5227362125&signin=Log+in HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:20 +0530] "GET /Login_Proj/alert/dist/sweetalert.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [26/Apr/2023:16:11:20 +0530] "GET /Login_Proj/vendor/jquery/jquery.min.js HTTP/1.1" 404 1070
